champion,current_total_games,current_top_games,current_jng_games,current_mid_games,current_bot_games,current_sup_games,current_top_rate,current_jng_rate,current_mid_rate,current_bot_rate,current_sup_rate,current_possible_roles,current_possible_role_count,current_is_flex,latest_patch,current_patch_total_games,current_patch_top_games,current_patch_jng_games,current_patch_mid_games,current_patch_bot_games,current_patch_sup_games,current_patch_top_rate,current_patch_jng_rate,current_patch_mid_rate,current_patch_bot_rate,current_patch_sup_rate
Lulu,124,0,0,0,0,124,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,17,0,0,0,0,17,0.0,0.0,0.0,0.0,1.0
Lux,15,0,0,0,0,15,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,2,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0
Malphite,6,0,6,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Malzahar,2,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Maokai,55,0,46,0,0,9,0.0,0.8363636363636363,0.0,0.0,0.16363636363636364,"[""jng"", ""sup""]",2,True,16.16,5,0,5,0,0,0,0.0,1.0,0.0,0.0,0.0
Mel,33,0,0,19,14,0,0.0,0.0,0.5757575757575758,0.42424242424242425,0.0,"[""mid"", ""bot""]",2,True,16.16,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
Milio,70,0,0,0,0,70,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,12,0,0,0,0,12,0.0,0.0,0.0,0.0,1.0
Miss Fortune,121,0,0,0,121,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,5,0,0,0,5,0,0.0,0.0,0.0,1.0,0.0
Mordekaiser,3,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,"[""top""]",1,False,16.16,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Morgana,6,0,0,3,0,3,0.0,0.0,0.5,0.0,0.5,"[""mid"", ""sup""]",2,True,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Naafiri,118,2,116,0,0,0,0.01694915254237288,0.9830508474576272,0.0,0.0,0.0,"[""jng""]",1,False,16.16,14,0,14,0,0,0,0.0,1.0,0.0,0.0,0.0
Nami,41,0,0,0,0,41,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
Nasus,2,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,[],0,False,16.16,2,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Nautilus,182,0,1,0,0,181,0.0,0.005494505494505495,0.0,0.0,0.9945054945054945,"[""sup""]",1,False,16.16,7,0,0,0,0,7,0.0,0.0,0.0,0.0,1.0
Neeko,163,0,0,0,0,163,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,8,0,0,0,0,8,0.0,0.0,0.0,0.0,1.0
Nidalee,54,13,41,0,0,0,0.24074074074074073,0.7592592592592593,0.0,0.0,0.0,"[""top"", ""jng""]",2,True,16.16,2,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0
Nilah,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Nocturne,122,0,122,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,10,0,10,0,0,0,0.0,1.0,0.0,0.0,0.0
Olaf,50,47,3,0,0,0,0.94,0.06,0.0,0.0,0.0,"[""top""]",1,False,16.16,18,17,1,0,0,0,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
Orianna,150,0,0,150,0,0,0.0,0.0,1.0,0.0,0.0,"[""mid""]",1,False,16.16,14,0,0,14,0,0,0.0,0.0,1.0,0.0,0.0
Ornn,49,48,0,0,0,1,0.9795918367346939,0.0,0.0,0.0,0.02040816326530612,"[""top""]",1,False,16.16,3,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Pantheon,214,0,199,3,0,12,0.0,0.9299065420560748,0.014018691588785047,0.0,0.056074766355140186,"[""jng""]",1,False,16.16,15,0,15,0,0,0,0.0,1.0,0.0,0.0,0.0
Poppy,123,3,45,0,0,75,0.024390243902439025,0.36585365853658536,0.0,0.0,0.6097560975609756,"[""jng"", ""sup""]",2,True,16.16,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
Pyke,17,0,0,0,0,17,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
Qiyana,14,0,14,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,4,0,4,0,0,0,0.0,1.0,0.0,0.0,0.0
Rakan,165,0,0,0,0,165,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,3,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0
Rammus,2,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Rek'Sai,20,20,0,0,0,0,1.0,0.0,0.0,0.0,0.0,"[""top""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Rell,159,0,0,0,0,159,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
Renata Glasc,85,0,0,0,0,85,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,12,0,0,0,0,12,0.0,0.0,0.0,0.0,1.0
Renekton,142,140,0,2,0,0,0.9859154929577465,0.0,0.014084507042253521,0.0,0.0,"[""top""]",1,False,16.16,5,5,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Rumble,251,249,0,2,0,0,0.9920318725099602,0.0,0.00796812749003984,0.0,0.0,"[""top""]",1,False,16.16,10,9,0,1,0,0,0.9,0.0,0.1,0.0,0.0
Ryze,246,2,0,244,0,0,0.008130081300813009,0.0,0.991869918699187,0.0,0.0,"[""mid""]",1,False,16.16,19,0,0,19,0,0,0.0,0.0,1.0,0.0,0.0
Sejuani,94,0,94,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
Senna,37,0,0,0,37,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Seraphine,79,0,0,0,1,78,0.0,0.0,0.0,0.012658227848101266,0.9873417721518988,"[""sup""]",1,False,16.16,15,0,0,0,0,15,0.0,0.0,0.0,0.0,1.0
Sett,4,0,0,3,0,1,0.0,0.0,0.75,0.0,0.25,"[""mid""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Shen,56,6,0,0,0,50,0.10714285714285714,0.0,0.0,0.0,0.8928571428571429,"[""top"", ""sup""]",2,True,16.16,10,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0
Shyvana,2,0,2,0,0,0,0.0,1.0,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sion,160,159,0,1,0,0,0.99375,0.0,0.00625,0.0,0.0,"[""top""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sivir,113,0,0,0,113,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,6,0,0,0,6,0,0.0,0.0,0.0,1.0,0.0
Skarner,105,0,104,0,0,1,0.0,0.9904761904761905,0.0,0.0,0.009523809523809525,"[""jng""]",1,False,16.16,9,0,9,0,0,0,0.0,1.0,0.0,0.0,0.0
Smolder,14,0,0,7,7,0,0.0,0.0,0.5,0.5,0.0,"[""mid"", ""bot""]",2,True,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sona,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Soraka,5,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
Swain,2,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sylas,70,7,8,55,0,0,0.1,0.11428571428571428,0.7857142857142857,0.0,0.0,"[""top"", ""jng"", ""mid""]",3,True,16.16,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
Syndra,50,0,0,50,0,0,0.0,0.0,1.0,0.0,0.0,"[""mid""]",1,False,16.16,15,0,0,15,0,0,0.0,0.0,1.0,0.0,0.0
Tahm Kench,13,0,0,0,0,13,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Taliyah,197,0,0,194,3,0,0.0,0.0,0.9847715736040609,0.015228426395939087,0.0,"[""mid""]",1,False,16.16,6,0,0,4,2,0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
Talon,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Taric,3,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Thresh,18,0,0,0,0,18,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
Tristana,22,3,0,11,8,0,0.13636363636363635,0.0,0.5,0.36363636363636365,0.0,"[""top"", ""mid"", ""bot""]",3,True,16.16,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
Trundle,102,1,101,0,0,0,0.00980392156862745,0.9901960784313726,0.0,0.0,0.0,"[""jng""]",1,False,16.16,6,1,5,0,0,0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0
Tryndamere,2,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Twisted Fate,47,6,0,41,0,0,0.1276595744680851,0.0,0.8723404255319149,0.0,0.0,"[""top"", ""mid""]",2,True,16.16,6,2,0,4,0,0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
Twitch,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Udyr,2,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Urgot,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Varus,154,12,0,0,142,0,0.07792207792207792,0.0,0.0,0.922077922077922,0.0,"[""bot""]",1,False,16.16,7,2,0,0,5,0,0.2857142857142857,0.0,0.0,0.7142857142857143,0.0
Vayne,26,25,0,0,1,0,0.9615384615384616,0.0,0.0,0.038461538461538464,0.0,"[""top""]",1,False,16.16,4,4,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Veigar,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Vex,3,0,0,3,0,0,0.0,0.0,1.0,0.0,0.0,"[""mid""]",1,False,16.16,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
Vi,183,0,183,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,8,0,8,0,0,0,0.0,1.0,0.0,0.0,0.0
Viego,35,0,33,2,0,0,0.0,0.9428571428571428,0.05714285714285714,0.0,0.0,"[""jng""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Viktor,133,0,0,127,6,0,0.0,0.0,0.9548872180451128,0.045112781954887216,0.0,"[""mid""]",1,False,16.16,7,0,0,6,1,0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0
Vladimir,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Wukong,201,0,201,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,11,0,11,0,0,0,0.0,1.0,0.0,0.0,0.0
Xayah,103,0,0,0,103,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,4,0,0,0,4,0,0.0,0.0,0.0,1.0,0.0
Xerath,2,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Xin Zhao,308,0,308,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,9,0,9,0,0,0,0.0,1.0,0.0,0.0,0.0
Yasuo,2,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Yone,98,0,0,98,0,0,0.0,0.0,1.0,0.0,0.0,"[""mid""]",1,False,16.16,2,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0
Yorick,96,96,0,0,0,0,1.0,0.0,0.0,0.0,0.0,"[""top""]",1,False,16.16,6,6,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Yunara,140,0,0,0,140,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,16,0,0,0,16,0,0.0,0.0,0.0,1.0,0.0
Yuumi,15,0,0,0,0,15,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,5,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0
Zaahen,39,35,4,0,0,0,0.8974358974358975,0.10256410256410256,0.0,0.0,0.0,"[""top"", ""jng""]",2,True,16.16,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
Zac,2,0,2,0,0,0,0.0,1.0,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Zed,12,0,12,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
Zeri,57,0,0,1,56,0,0.0,0.0,0.017543859649122806,0.9824561403508771,0.0,"[""bot""]",1,False,16.16,4,0,0,0,4,0,0.0,0.0,0.0,1.0,0.0
Ziggs,66,0,0,6,60,0,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0,"[""bot""]",1,False,16.16,4,0,0,0,4,0,0.0,0.0,0.0,1.0,0.0
Zilean,2,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Zoe,18,0,0,18,0,0,0.0,0.0,1.0,0.0,0.0,"[""mid""]",1,False,16.16,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
Zyra,17,0,16,1,0,0,0.0,0.9411764705882353,0.058823529411764705,0.0,0.0,"[""jng""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
